ticker
AAPL
MSFT
AMZN
NVDA
GOOGL
META
TSLA
BRK-B
UNH
JNJ
XOM
V
PG
MA
HD
CVX
MRK
ABBV
PEP
COST
KO
AVGO
ADBE
TMO
ACN
CSCO
WMT
MCD
CRM
LIN
NFLX
AMD
TXN
QCOM
INTC
ORCL
IBM
AMAT
LRCX
MU
ADI
NOW
INTU
ISRG
BKNG
SPGI
BLK
AXP
GS
MS
C
SCHW
PYPL
UPS
FDX
RTX
BA
CAT
DE
GE
HON
MMM
NKE
SBUX
LOW
TJX
TGT
